backplane_pin,signal,origin_ref,destination_ref,notes
1,+5V,A2P1,A5P1-1,"A1 XA5/XA6 interconnect list"
1,+5V,A2P1,A6P1-1,"A1 XA5/XA6 interconnect list"
2,+5V,A2P1,A5P1-2,"A1 XA5/XA6 interconnect list"
2,+5V,A2P1,A6P1-2,"A1 XA5/XA6 interconnect list"
3,KS0,A4W1-15,A5P1-3,"Keyboard scan line"
4,KS1,A4W1-2,A5P1-4,"Keyboard scan line"
5,KS2,A4W1-14,A5P1-5,"Keyboard scan line"
6,KS3,A4W1-3,A5P1-6,"Keyboard scan line"
7,KS4,A4W1-13,A5P1-7,"Keyboard scan line"
8,KS7,A4W1-4,A5P1-8,"Keyboard scan line"
9,KS_GND,A4W1-1,A5P1-9,"Keyboard ground return"
9,KS_GND,A4W1-5,A5P1-9,"Keyboard ground return"
9,KS_GND,A4W1-12,A5P1-9,"Keyboard ground return"
9,KS_GND,A4W1-16,A5P1-9,"Keyboard ground return"
10,KS_GND,A4W1-1,A5P1-10,"Keyboard ground return"
10,KS_GND,A4W1-5,A5P1-10,"Keyboard ground return"
10,KS_GND,A4W1-12,A5P1-10,"Keyboard ground return"
10,KS_GND,A4W1-16,A5P1-10,"Keyboard ground return"
11,GND_or_+5V,A2P1,A5P1-11,"OCR/manual note: GND on XA5, +5V on XA6"
11,GND_or_+5V,A2P1,A6P1-11,"OCR/manual note: GND on XA5, +5V on XA6"
12,GND_or_+5V,A2P1,A5P1-12,"OCR/manual note: GND on XA5, +5V on XA6"
12,GND_or_+5V,A2P1,A6P1-12,"OCR/manual note: GND on XA5, +5V on XA6"
13,SCAN_D,A5P1-13,A4W1-10,"Keyboard scan line"
14,SCAN_A,A5P1-14,A4W1-7,"Keyboard scan line"
15,SCAN_B,A5P1-15,A4W1-8,"Keyboard scan line"
16,SCAN_C,A5P1-16,A4W1-9,"Keyboard scan line"
17,SW0,A11W1-14,A5P1-17,"Personality panel switch"
18,SW1,A11W1-1,A5P1-18,"Personality panel switch"
19,SW2,A11W1-13,A5P1-19,"Personality panel switch"
20,SW3,A11W1-2,A5P1-20,"Personality panel switch"
21,SW4,A11W1-12,A5P1-21,"Personality panel switch"
22,SW5,A11W1-3,A5P1-22,"Personality panel switch"
23,SW6,A11W1-11,A5P1-23,"Personality panel switch"
24,SW7,A11W1-4,A5P1-24,"Personality panel switch"
27,GND_or_+5V,A2P1,A5P1-27,"OCR/manual note: GND on XA5, +5V on XA6"
27,GND_or_+5V,A2P1,A6P1-27,"OCR/manual note: GND on XA5, +5V on XA6"
28,GND_or_+5V,A2P1,A5P1-28,"OCR/manual note: GND on XA5, +5V on XA6"
28,GND_or_+5V,A2P1,A6P1-28,"OCR/manual note: GND on XA5, +5V on XA6"
29,GND,A2P1,A5P1-29,"A1 XA5/XA6 interconnect list"
29,GND,A2P1,A6P1-29,"A1 XA5/XA6 interconnect list"
30,GND,A2P1,A5P1-30,"A1 XA5/XA6 interconnect list"
30,GND,A2P1,A6P1-30,"A1 XA5/XA6 interconnect list"
31,GND,A2P1,A5P1-31,"A1 XA5/XA6 interconnect list"
31,GND,A2P1,A6P1-31,"A1 XA5/XA6 interconnect list"
32,GND,A2P1,A5P1-32,"A1 XA5/XA6 interconnect list"
32,GND,A2P1,A6P1-32,"A1 XA5/XA6 interconnect list"
33,GND,A2P1,A5P1-33,"A1 XA5/XA6 interconnect list"
33,GND,A2P1,A6P1-33,"A1 XA5/XA6 interconnect list"
34,GND,A2P1,A5P1-34,"A1 XA5/XA6 interconnect list"
34,GND,A2P1,A6P1-34,"A1 XA5/XA6 interconnect list"
35,GND,A2P1,A5P1-35,"A1 XA5/XA6 interconnect list"
35,GND,A2P1,A6P1-35,"A1 XA5/XA6 interconnect list"
36,GND,A2P1,A5P1-36,"A1 XA5/XA6 interconnect list"
36,GND,A2P1,A6P1-36,"A1 XA5/XA6 interconnect list"
37,GND,A2P1,A5P1-37,"A1 XA5/XA6 interconnect list"
37,GND,A2P1,A6P1-37,"A1 XA5/XA6 interconnect list"
38,GND,A2P1,A5P1-38,"A1 XA5/XA6 interconnect list"
38,GND,A2P1,A6P1-38,"A1 XA5/XA6 interconnect list"
39,PRWCK,A5P1-39,A6P1-39,"A1 XA5/XA6 interconnect list"
40,GND,A2P1,A5P1-40,"A1 XA5/XA6 interconnect list"
40,GND,A2P1,A6P1-40,"A1 XA5/XA6 interconnect list"
41,GND,A2P1,A5P1-41,"A1 XA5/XA6 interconnect list"
41,GND,A2P1,A6P1-41,"A1 XA5/XA6 interconnect list"
42,HuPCY,A5P1-42,A6P1-42,"A1 XA5/XA6 interconnect list"
43,GND,A2P1,A5P1-43,"A1 XA5/XA6 interconnect list"
43,GND,A2P1,A6P1-43,"A1 XA5/XA6 interconnect list"
44,GND,A2P1,A5P1-44,"A1 XA5/XA6 interconnect list"
44,GND,A2P1,A6P1-44,"A1 XA5/XA6 interconnect list"
46,LDSTOR,A8P1-46,A9P1-46,"Cross-link between XA8 and XA9P1"
47,PEXCK,A9P1-47,A10P1-47,"Cross-link between XA9P1 and XA10P1"
50,LLSRE,A5P1-50,A6P1-50,"A1 XA5/XA6 interconnect list"
56,200ns_CK,A5P1-56,A6P1-56,"A1 XA5/XA6 interconnect list"
58,1us_CK,A5P1-58,A7P1-58,"Timing distribution"
58,1us_CK,A5P1-58,A9P1-58,"Timing distribution"
59,2Hz_CK,A6P1-59,A9P1-59,"Timing distribution"
60,M0,A6P1-60,A5P1-60,"Machine-state bus"
60,M0,A8P1-60,A5P1-60,"Machine-state bus"
60,M0,A10P1-60,A5P1-60,"Machine-state bus"
61,M1,A6P1-61,A5P1-61,"Machine-state bus"
61,M1,A8P1-61,A5P1-61,"Machine-state bus"
61,M1,A10P1-61,A5P1-61,"Machine-state bus"
62,M2,A6P1-62,A5P1-62,"Machine-state bus"
62,M2,A8P1-62,A5P1-62,"Machine-state bus"
62,M2,A10P1-62,A5P1-62,"Machine-state bus"
63,M3,A6P1-63,A5P1-63,"Machine-state bus"
63,M3,A8P1-63,A5P1-63,"Machine-state bus"
63,M3,A10P1-63,A5P1-63,"Machine-state bus"
64,M4,A6P1-64,A5P1-64,"Machine-state bus"
64,M4,A8P1-64,A5P1-64,"Machine-state bus"
64,M4,A10P1-64,A5P1-64,"Machine-state bus"
65,M5,A6P1-65,A5P1-65,"Machine-state bus"
65,M5,A8P1-65,A5P1-65,"Machine-state bus"
65,M5,A10P1-65,A5P1-65,"Machine-state bus"
66,M6,A6P1-66,A5P1-66,"Machine-state bus"
66,M6,A8P1-66,A5P1-66,"Machine-state bus"
66,M6,A10P1-66,A5P1-66,"Machine-state bus"
67,M7,A6P1-67,A5P1-67,"Machine-state bus"
67,M7,A8P1-67,A5P1-67,"Machine-state bus"
67,M7,A10P1-67,A5P1-67,"Machine-state bus"
68,D0,A5P1-68,A6P1-68,"Shared data bus"
68,D0,A5P1-68,A7P1-68,"Shared data bus"
68,D0,A5P1-68,A8P1-68,"Shared data bus"
69,D1,A5P1-69,A6P1-69,"Shared data bus"
69,D1,A5P1-69,A7P1-69,"Shared data bus"
69,D1,A5P1-69,A8P1-69,"Shared data bus"
70,D2,A5P1-70,A6P1-70,"Shared data bus"
70,D2,A5P1-70,A7P1-70,"Shared data bus"
70,D2,A5P1-70,A8P1-70,"Shared data bus"
71,D3,A5P1-71,A6P1-71,"Shared data bus"
71,D3,A5P1-71,A7P1-71,"Shared data bus"
71,D3,A5P1-71,A8P1-71,"Shared data bus"
72,D4,A5P1-72,A6P1-72,"Shared data bus"
72,D4,A5P1-72,A7P1-72,"Shared data bus"
72,D4,A5P1-72,A8P1-72,"Shared data bus"
73,D5,A5P1-73,A6P1-73,"Shared data bus"
73,D5,A5P1-73,A7P1-73,"Shared data bus"
73,D5,A5P1-73,A8P1-73,"Shared data bus"
74,D6,A5P1-74,A6P1-74,"Shared data bus"
74,D6,A5P1-74,A7P1-74,"Shared data bus"
