line_item,mouser_no,mfr_no,manufacturer,description,order_qty,price_eur,extended_eur
1,517-3365/40FT,3365/40-CUT-LENGTH,3M,Flat Cables .050 40 COND. 28AWG ROUND 1PC=1FT,3,"0,774 €","2,32 €"
2,517-228-1290-00,228-1290-00-0602J,3M,"IC & Component Sockets 0.070"" DIP SOCKET 28 Contact Qty.",6,"25,97 €","155,82 €"
3,913-AS6C6264-55PCN,AS6C6264-55PCN,Alliance Memory,"SRAM 64K, 2.7-5.5V, 55ns 8K x 8 Asynch SRAM",6,"7,57 €","45,42 €"
4,774-1958MST,195-8MST,CTS,"DIP Switches/SIP Switches DIP switches/SIP switches, SPST, PIANO, 8 POS, Thru-Hole, TAPE SEALED, TUBE, OFF",10,"1,06 €","10,60 €"
5,611-BPA08B,BPA08B,C&K Switches,DIP Switches/SIP Switches SIDE ACT 8 POS,2,"3,62 €","7,24 €"
6,556-AT28C64B15PU,AT28C64B-15PU,Microchip,EEPROM 64K 8K x 8 150 ns 4.5V-5.5V,10,"4,73 €","47,30 €"
7,200-ESW12044TD,ESW-120-44-T-D,Samtec,PC/104 Connectors .100 Elevated Socket Strip,2,"4,12 €","8,24 €"
8,556-AT28C25615PU,AT28C256-15PU,Microchip,EEPROM 256K 32K x 8 150 ns 4.5V-5.5V,5,"10,64 €","53,20 €"
9,595-SN74LS32N,SN74LS32N,Texas Instruments,Logic Gates Quad 2-Input,10,"0,511 €","5,11 €"
10,595-SN74LS85N,SN74LS85N,Texas Instruments,Logic Comparators 4-bit binary or BCD Magnitude Comparator,10,"1,44 €","14,40 €"
11,595-SN74LS86AN,SN74LS86AN,Texas Instruments,Logic Gates Quad 2 Input,10,"0,526 €","5,26 €"
12,595-SN74LS164N,SN74LS164N,Texas Instruments,Counter Shift Registers 8-Bit Shift,10,"0,607 €","6,07 €"
13,595-SN74LS273N,SN74LS273N,Texas Instruments,Flip-Flops Octal,10,"0,837 €","8,37 €"
14,595-SN74LS245N,SN74LS245N,Texas Instruments,Bus Transceivers Octal Bus,20,"0,828 €","16,56 €"
