item_id,category,qty,reference,part,package_footprint,preferred_example,function,required_for_first_build,notes
DISP-L-001,Display,1,LEFT_MAIN,7 inch HDMI capacitive touch display,Display module,Waveshare 7inch HDMI LCD (C),Primary left-side touch UI display,no,"Best larger-format candidate under current concept; may require bezel cropping and careful left-side mechanical validation"
DISP-R-001,Display,1,RIGHT_AUX,7 inch HDMI capacitive touch display,Display module,Waveshare 7inch HDMI LCD (C),Primary right-side auxiliary display,yes,"Current reference geometry for the right aperture; front fit is strong but rear depth and connector clearance must be checked"
DISP-L-002,Display fallback,1,LEFT_MAIN_FB,5 inch 800x480 TFT or HDMI panel,Display module,Adafruit 5.0 inch 800x480 TFT family,Conservative fallback for left-side main display,no,"Mechanically safe but visually undersized for the left facade"
DISP-R-002,Display fallback,1,RIGHT_AUX_FB,Shallow rectangular display panel with remote driver,Display module,TBD after depth survey,Right-side fallback if full 7 inch module is too deep,no,"Keep rectangular format; do not default to bar display unless style intentionally changes"
DISP-DEV-001,Development display,1,MOCKUP,4 inch square HDMI touch display,Display module,Waveshare 4inch HDMI LCD (C),Bench development and UI mockup aid,no,"Useful for software work or temporary mockup, not preferred for final facade"
HOST-001,Main computer,1,UIPI,Raspberry Pi Zero 2 W,Computer module,Raspberry Pi Zero 2 W,Main UI computer for graphics touch terminal and logging,yes,"Preferred display/UI host; mini HDMI output and small physical footprint suit internal mounting"
CTRL-001,Panel controller,1,UPANEL,Arduino Mega 2560 Rev3,Development board,Arduino Mega 2560 Rev3,Panel and instrument controller during repurpose bring-up,yes,"Development-board-level controller choice for broad I/O and simple integration"
IFACE-001,Display interface,1,CBL_HDMI_L,Mini HDMI to HDMI cable or adapter,Cable/adapter,Official or quality flexible cable,Connect Pi Zero 2 W to left display,yes,"Prefer a short flexible cable rather than a bulky rigid adapter"
IFACE-002,Display interface,1,CBL_HDMI_R,HDMI cable for auxiliary display,Cable,Short flexible HDMI cable,Connect UI host or secondary graphics source to right display,yes,"Right-side cable path is depth-sensitive; choose the flattest practical cable"
IFACE-003,Touch/power,1,CBL_USB_L,USB touch/power cable for left display,Cable,Short USB cable matched to display,Touch and or power path for left-side HDMI display,yes,"Exact connector type depends on chosen display"
IFACE-004,Touch/power,1,CBL_USB_R,USB touch/power cable for right display,Cable,Short USB cable matched to display,Touch and or power path for right-side HDMI display,yes,"If right-side touch is omitted this may become power-only"
IFACE-005,Serial link,1,LINK_UART,UART interconnect between Pi and panel controller,Wire harness,3-wire or 4-wire harness,Primary control and telemetry link between Pi and Arduino,yes,"At minimum TX RX and GND; optional reset or flow-control lines if desired"
MNT-001,Mounting,1,BEZEL_L,Left custom bezel or mask,Custom facade part,Custom fabricated part,Visually integrate left display into CRT opening,yes,"Assume a custom mask is required for a deliberate appearance"
MNT-002,Mounting,1,BEZEL_R,Right custom bezel or mask,Custom facade part,Custom fabricated part,Visually integrate right display into personality aperture,yes,"Thin even borders preferred to maximize visible area"
MNT-003,Mounting,1,BRKT_L,Left display mounting bracket,Custom bracket,Custom fabricated part,Secure left display and set setback depth,yes,"Left side is more tolerant of thicker assemblies"
MNT-004,Mounting,1,BRKT_R,Right display mounting bracket,Custom bracket,Custom fabricated part,Secure right display with shallow rear profile,yes,"Right side is the critical mounting problem; prioritize shallow build and serviceability"
MNT-005,Mounting hardware,8,STANDOFFS,M2.5 or M3 standoffs and hardware,Hardware kit,Generic standoffs screws and spacers,Mechanical support for displays and brackets,yes,"Exact size depends on chosen display PCBs and printed or fabricated bracket design"
PWR-001,Power,1,PSU5,5V regulated supply sized for Pi and displays,Power module,TBD after final display choice,Primary low-voltage rail for display subsystem,yes,"Budget for Pi Zero 2 W plus one or two HDMI displays and backlight load"
PWR-002,Power protection,2,FUSED_BRANCH,Fused or protected 5V display branches,Protection hardware,Inline fuse or resettable polyfuse,Separate power protection for display branches,no,"Strongly recommended once packaging moves beyond bench proof-of-concept"
PWR-003,Power control,2,BL_CTRL,Backlight enable or control provision,Switch/control path,TBD by display family,Allow display dimming or shutdown,no,"Useful for heat and power management"
ACC-001,Adapter,1,USB_OTG,Pi Zero 2 W USB OTG adapter or hub,Adapter,Compact OTG adapter or hub,Support touch serial and maintenance peripherals on Pi,yes,"One port may be enough initially; a compact hub can simplify bring-up"
ACC-002,Storage,1,SDCARD,MicroSD card for Pi,Storage,Quality microSD card,OS and UI storage for Pi,yes,"Capacity can stay modest for early bring-up"
ACC-003,Cooling/service,1,SVC_ACCESS,Service slack and disconnect provision,Integration allowance,TBD in harness design,Allow front-panel service without stressing cables,yes,"Not a discrete part by itself but should be represented in the design budget"
OPT-001,Optional interface board,1,TFP401,HDMI to 40-pin TTL decoder,Interface PCB,Adafruit TFP401 HDMI/DVI Decoder to 40-pin TTL Breakout - With Touch,Alternative path for raw TTL TFT panels,no,"Relevant only if using a raw 40-pin TTL TFT instead of a self-contained HDMI display"
OPT-002,Optional interface board,1,RA8875,TFT controller board for Arduino-driven large TFT,Interface PCB,Adafruit RA8875 Driver Board for 40-pin TFT Touch Displays,Alternative path if an Arduino-driven display path is explored,no,"Secondary to current Pi-based UI direction"
OPT-003,Optional styling choice,1,BAR_ALT,Narrow rectangular bar TFT,Display module,Adafruit 3.2 inch 320x820 bar TFT family,Stylized right-side alternative,no,"Interesting aesthetically but currently not aligned with maximizing the right aperture"
