item_id,category,qty,buy_now,reference,part,preferred_example,function,connector_or_variant,notes
SHOP-001,Display,1,yes,STATUS_LCD,Character LCD module,NHD-0440AZ-FL-YBW,Main left-side status and readback display,Character LCD module,"Favored left-side display choice for the current instrument-style direction"
SHOP-002,Display,1,in_basket,ALT_LCD_20X4,Character LCD module,204G BC BW,Alternative larger character LCD,20x4 character LCD,"Basket already has 2 as an alternate; keep only if we want a larger readout window"
SHOP-003,Display,1,in_basket,RODNEY_STRIP,Narrow character LCD strip,NHD-0116GZ-FSW-GBW,Right-side Rodney status strip,Character strip LCD,"Basket already has 3, but this stays optional unless the right side gets a text strip rather than LEDs only"
SHOP-004,Display accessory,1,hold,LCD_IF,Character LCD interface board,TBD I2C backpack or direct header,Reduce panel wiring complexity,TBD by LCD choice,"Only buy if it materially simplifies wiring without adding fragility"
SHOP-005,Panel controller,1,in_stock,UPANEL,Arduino Nano 33 IoT,Existing stock board,Bring-up controller for panel and instrument I/O,USB plus header I/O,"Preferred in-stock controller board"
SHOP-006,Panel controller alternate,10,in_basket,UPANEL_ALT,ATmega328P loose MCU,ATMEGA328P-PU,Optional helper or fallback controller path,28-pin DIP MCU,"Useful for breadboard experiments or a split-control architecture, but not required for the first panel build"
SHOP-007,Operator input,10,purchased,SLIDER_BANK,Slide potentiometers,PTNS2-4515M-B10,Left-side continuous-variable bank,45 mm 10 kOhm linear,"10 already purchased; plan on 8 active channels in the first revision and 2 spare"
SHOP-008,Operator input,4,in_basket,SW_TOGGLE,Toggle switches or DIP banks,Existing basket DIP switches or TBD by variable map,Binary environmental-variable controls,Panel-mount or PCB switch,"Basket already has both piano and side-actuated 8-position DIP switch options; panel toggles are only needed if the final front-panel map rejects DIP style"
SHOP-009,Operator input,3,in_basket,PB_MOM,Momentary pushbuttons,PB5-M-R-R-67 and PB5-M-BK-R-67,Right-side Rodney actions and event control,12 mm panel-mount pushbutton,"Basket quantity lines up well with ACK FREEZE CLEAR"
SHOP-010,Operator input,1,in_basket,PB_ALERT,Illuminated momentary pushbutton,PB4L-M-RR-D-67,Primary inject or trigger action,12 mm illuminated pushbutton,"Good fit for a trigger or inject control that should stand out"
SHOP-011,Operator input,1,yes,MODE_SEL,Mode selector switch,TBD by mode map,Distinct operating-mode selection,Panel-mount selector,"Still not covered by the basket unless one of the binary control parts is repurposed"
SHOP-012,Operator input,1,hold,ENC_MAIN,Rotary encoder with push,TBD by menu design,Menu navigation and numeric adjustment,Panel-mount encoder,"Only needed if the LCD workflow benefits from encoder-driven selection"
SHOP-013,Indicators,8,in_stock,LED_FIELD,Discrete LED annunciator field,Existing LED stock,Right-side Rodney annunciator cluster,TBD colors from stock,"Suggested labels: POWER RODNEY LINK RX TX ARMED TRIGGER INJECT FAULT"
SHOP-014,Analog expansion,10,in_basket,ADC_MUX,8:1 analog multiplexer,CD74HC4051E,Expand analog input count beyond 8,DIP package,"Covered if the extra 2 sliders need to become active; not required for the first direct-wired 8-slider build"
SHOP-015,Target interface,20,in_basket,DIG_BUF,Buffered digital output stage,SN74LS245N,Drive target-facing digital lines safely,DIP package,"Basket includes more than enough bus transceivers for simple buffered digital paths if logic levels are appropriate"
SHOP-016,Target interface,20,in_basket,OC_DRV,Comparator or sink-driver building block,LM339AN,Support tolerant thresholding or open-collector style behavior,DIP package,"Usable for thresholding and some interface tasks; exact use depends on the target signal map"
SHOP-017,Target interface,1,hold,AN_OUT,Analog-like output stage,TBD PWM filter or DAC path,Create analog-like control levels,TBD after variable map,"Still not explicitly covered as a dedicated DAC path, but the passive basket supports simple filtered-PWM experiments"
SHOP-018,Target interface,1,check_stock,PULSE_GEN,Timed pulse output stage,Firmware-timed first pass or simple shaping if needed,Generate repeatable trigger or event pulses,TBD after timing map,"First build should assume firmware timing with no dedicated purchase; only add hardware shaping if bench behavior shows a real need"
SHOP-019,Display interface,1,in_basket,LCD_LINK,Display harness parts,3M 3365/40 plus HARTING IDC parts,Connect controller to main character LCD,Ribbon and IDC,"Basket already includes ribbon and matching IDC hardware for neat panel wiring"
SHOP-020,Display interface,1,hold,STRIP_LINK,Right-side strip harness,3M 3365/40 plus HARTING IDC parts,Connect controller to Rodney strip,Ribbon and IDC,"Only needed if the dedicated right-side strip is populated"
SHOP-021,Indicator interface,1,yes,LED_DRV,LED resistor and driver set,TBD resistor network or small PCB,Current limit and route the Rodney annunciator LEDs,TBD by LED stock and brightness,"Likely covered by the passive basket, but still needs a small implementation plan"
SHOP-022,Protection,10,in_basket,ESD_PROT,ESD clamp parts,USBLC6-2SC6,Protect external or panel-facing lines,SOT-23-6 or adapter,"Useful if any panel I/O or cables are exposed to handling"
SHOP-023,Protection,50,in_basket,POLYFUSE,Resettable fuse options,MF-R050-AP MF-R075-AP MF-R110-AP,Protect logic and interface branches,Radial leaded,"Basket already includes several current-rating options"
SHOP-024,Mechanical,1,yes,BEZEL_MAIN,Front subpanel or bezel,TBD custom fabricated part,Integrate LCD and controls into the facade,Custom,"Still needs fabrication planning"
SHOP-025,Mechanical,1,yes,BRKT_LCD,LCD mounting bracket,TBD custom fabricated part,Support character LCD mechanically,Custom,"Exact geometry depends on final left-side placement"
SHOP-026,Mechanical,1,hold,BRKT_STRIP,Right-side strip mounting bracket,TBD custom fabricated part,Support the Rodney strip mechanically,Custom,"Only needed if the right-side strip is populated"
